bom
https://www.digikey.com/short/wn8fm2b9

Reference, Quantity, Value, Footprint, Datasheet, Description, Height, Manufacturer_Name, Manufacturer_Part_Number, Mouser Part Number,DigiKey Part Number, Mouser Price,DigiKey Price
C1 C3 C5 C7 C10 C12 C14 C16 C19 C20 ,10,0.47u,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,,,,Samsung Electro-Mechanics,CL31B475KAHNFNE,,1276-3177-1-ND,,$0.159
C2 C4 C6 C8 C11 C13 C15 C17 ,8,0.1u,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,~,,,KEMET,C1206C104K3RACTU,,399-8140-1-ND,,$0.086
C9 C18 ,2,22u,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,~,,,KEMET,T491A226K006AT,,399-8279-1-ND,,$0.490
D1-D119 ,119,DIODE,Diode_SMD:D_SOD-123,~,,,Nexperia USA Inc.,PMEG2005EGWX,,1727-7329-1-ND,,$0.130
IC1 IC2 ,2,IS31FL3733-QFLS4-TR,LED-Driver:QFN40P600X600X80-49N-D,http://www.issi.com/WW/pdf/31FL3733.pdf,IC LED DRVR LINEAR 46MA 48QFN,0.8,Lumissil,IS31FL3733-QFLS4-TR,870-31FL3733QFLS4TR,2521-IS31FL3733B-QFLS4-CT-ND,,$3.090
J1 ,1,Conn_01x40,Connector_PinHeader_1.00mm:PinHeader_1x40_P1.00mm_Horizontal,~,,,Chip Quik Inc.,HDR100MET40M-G-RA-TH,,HDR100MET40M-G-RA-TH-ND,,$1.590
LED2 LED3 LED4 LED5 LED7 LED8 LED9 LED10 LED11 LED12 LED13 LED14 LED15 LED16 LED17 LED18 LED19 LED20 LED21 LED22 LED23 LED24 LED25 LED26 LED27 LED28 LED29 LED30 LED31 LED32 LED33 LED34 LED35 LED36 LED37 LED38 LED39 LED40 LED41 LED42 LED43 LED44 LED45 LED46 LED47 LED48 LED49 LED50 LED51 LED52 LED53 LED54 LED55 LED56 LED57 LED58 LED59 LED60 LED61 LED62 LED63 LED64 LED65 LED66 LED67 LED71 LED72 LED73 LED74 LED75 LED76 LED77 LED78 LED79 LED80 LED81 LED82 LED83 LED84 LED85 LED86 LED87 LED88 LED90 LED92 LED93 LED94 LED95 LED96 LED97 LED98 LED99 LED100 LED101 LED102 LED103 LED104 LED105 LED106 LED107 LED108 LED109 LED110 LED111 LED112 LED113 LED114 LED115 LED116 LED117 LED118 LED119 LED120 LED121 LED122 LED123 LED124 LED125 LED126 ,119,XZMDKCBDDG45S-9,Reverse-Mount-RGB:XZMDKCBDDG45S9,http://www.sunledusa.com/products/spec/XZMDKCBDDG45S-9.pdf,LED RGB CLEAR 4SMD GW,2.1,SunLED,XZMDKCBDDG45S-9,,1497-1257-1-ND,,$0.543
R1 R4 R5 ,3,100K,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,~,,,Bourns Inc.,CR0805AFX-1003ELF,,118-CR0805AFX-1003ELFCT-ND,,$0.100
R2 R3 ,2,2K,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,~,,,Bourns Inc.,CR0402AFX-2001GLF,,118-CR0402AFX-2001GLFCT-ND,,$0.037
R6 R7 ,2,20K,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,~,,,Vishay Dale,CRCW060320K0FKEB,,541-CRCW060320K0FKEBCT-ND,,$0.038
